Warning Type,Impact,Condition Type,,,,
Railings are placed completely outside the host. It may change the adjustment of the railing to the host and its vertical position.,High Impact,Equals,,,,
Room is not in a properly enclosed region,Low Impact,Equals,,,,
Room separation line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
The Actual Riser Height of stair is greater than the Maximum Riser Height specified in the stair type.,High Impact,Equals,,,,
The element (of type Duct Fittings) has an open connector,High Impact,Contains,,,,
The element (of type Flex Pipes) has an open connector,High Impact,Contains,,,,
The element (of type Pipes) has an open connector,High Impact,Contains,,,,
Line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
"Multiple Rooms are in the same enclosed region.  The correct area and perimeter will be assigned to one Room and the others will display ""Redundant Room.""  You should separate the regions, delete the extra Rooms, or move them into different regions.",High Impact,Equals,,,,
"Multiple Areas are in the same enclosed region.  The correct area and perimeter will be assigned to one Area and the others will display ""Redundant Area.""  You should separate the regions, delete the extra Areas, or move them into different regions.",High Impact,Equals,,,,
"Stair bottom end exceeds or cannot reach the base elevation of the stair. Add/remove risers at the bottom end by control or change the stair run's ""Relative Base Height"" parameter in the properties palette.",High Impact,Equals,,,,
Rectangular opening doesn't cut its host.,Low Impact,Equals,,,,
The ramp is not long enough to reach the top constraint plus top offset.  Change the slope or increase the length of the ramp.,Low Impact,Equals,,,,
Curve-Based Family is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
Top reference is below Bottom reference for one or more Balusters. These Balusters are not created.,Low Impact,Equals,,,,
A notch join can only be used when the run end tread is coplanar with the landing tread. Clear the Begin with Riser or End with Riser instance property for the run to use the notch join.,High Impact,Equals,,,,
Conditions for wall embedding are no longer satisfied.,Low Impact,Equals,,,,
"The rail is not continuous.  Breaks in the rail usually occur at sharply-angled transitions. To fix the problem, try: - Changing the transition style in the rail type properties, or - Modifying the railing path at the transition.",Low Impact,Equals,,,,
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap. You can tab-select one of the overlapping elements to exclude it from the group instance.,No Impact,Equals,,,,
"Some panels in this curtain system are slightly malformed.  The problem is most likely ignorable. This problem usually occurs when a panel or parts of a panel have been divided so that they are very narrow.  To better see the malformed panels, temporarily hide the mullion category and set display of lines to ""thin lines"" (using the command on the view menu).",No Impact,Equals,,,,
"Room is not placed. Physical properties such as area will display as ""Not Placed"" in schedules. You can place the Room using the option bar in the Room tool, or you can delete the Room in a schedule.",Low Impact,Contains,,,,
Space separation line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
Analytical Top Projection Plane is partially or completely below Analytical Bottom Projection Plane. Please reset top and/or bottom planes to valid values.,High Impact,Equals,,,,
The analytical model for the structural element cannot be created by the auto-detect method. Adjust the analytical element or change the tolerance of the analytical model settings if the model is needed.,Low Impact,Equals,,,,
"Design Option ""Main Model"" cannot reference Design Option ""Option Set 1 : Column Option 2"".",High Impact,Equals,,,,
Element is slightly off axis and may cause inaccuracies.,Low Impact,Equals,,,,
Unable to trim slanted column end geometry to desired condition.,Low Impact,Equals,,,,
Can't make the expected join because of editability and design option restrictions.,Low Impact,Equals,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
